has_feature_addition,deletions,insertions,num_file_types,is_preventive,project_changes_owner,is_refactoring,whole_within_project_changes,is_merge,num_directory_files,is_corrective,description_length,num_file_changes,project_age,is_non_functional,avg_num_dev_modified_files,last_mth_dep_proj_nbr,ratio_dep_chan_owner,projects_contributed_owner,pctg_cross_project_changes,pctg_cross_project_changes_owner,pctg_mod_file_dep_cha,pred,impact,fold,max_num_mod_file_dep_cha,cross_project_changes_owner,min_num_mod_file_dep_cha,cross_project_changes,whole_changes_owner,num_dev_modified_files
0,2.0,11.0,1.0,0,13.0,0,157.5,0,2.0,0,297.0,32.0,888.5032764556393,0,5.75,0.0,3.8461538461538463,11.0,0.4714285714285714,0.0,0.0,0.69,0.029850746268656577,2,0.0,,,,,
0,2.0,11.0,1.0,0,13.0,0,157.5,0,2.0,0,297.0,32.0,563.8219328703703,1,5.75,0.0,3.8461538461538463,11.0,0.4714285714285714,0.0,0.0,0.66,-0.01492537313432837,2,0.0,,,,,
0,2.0,11.0,1.0,0,13.0,0,157.5,0,2.0,0,297.0,32.0,563.8219328703703,0,52.4644061871971,0.0,3.8461538461538463,11.0,0.4714285714285714,0.0,0.0,0.7,0.04477611940298495,2,0.0,,,,,
0,2.0,11.0,1.0,0,13.0,0,157.5,0,2.0,0,297.0,32.0,563.8219328703703,0,5.75,4.60350799801676,3.8461538461538463,11.0,0.4714285714285714,0.0,0.0,0.76,0.13432835820895517,2,0.0,,,,,
0,2.0,11.0,1.0,0,13.0,0,157.5,0,2.0,0,297.0,32.0,563.8219328703703,0,5.75,0.0,40.267921182288944,11.0,0.4714285714285714,0.0,0.0,0.9,0.3432835820895522,2,0.0,,,,,
0,2.0,11.0,1.0,0,13.0,0,157.5,0,2.0,0,297.0,32.0,563.8219328703703,0,5.75,0.0,3.8461538461538463,38.514465141464726,0.4714285714285714,0.0,0.0,0.87,0.2985074626865671,2,0.0,,,,,
0,2.0,11.0,1.0,0,13.0,0,157.5,0,2.0,0,297.0,32.0,563.8219328703703,0,5.75,0.0,3.8461538461538463,11.0,0.7138977166743067,0.0,0.0,0.67,0.0,2,0.0,,,,,
0,2.0,11.0,1.0,0,13.0,0,157.5,0,2.0,0,297.0,32.0,563.8219328703703,0,5.75,0.0,3.8461538461538463,11.0,0.4714285714285714,0.1875162922009728,0.0,0.64,-0.044776119402985114,2,0.0,,,,,
0,2.0,11.0,1.0,0,13.0,0,157.5,0,2.0,0,297.0,32.0,563.8219328703703,0,5.75,0.0,3.8461538461538463,11.0,0.4714285714285714,0.0,0.0,0.74,0.10447761194029843,2,7.093552249542301,,,,,
0,2.0,11.0,1.0,0,13.0,0,157.5,0,2.0,0,297.0,32.0,563.8219328703703,0,5.75,0.0,3.8461538461538463,11.0,0.4714285714285714,0.0,40.21394253306226,0.68,0.01492537313432837,2,0.0,,,,,
